Case Number,Month,Day,Year,Country,Region,Attack Location,Provoked (Y/N),Injury Description,Fatal (Y/N),Victim_Gender,Activity,Investigator or Source
2016.09.18.c,Sep,18,2016,usa,florida,new smyrna beach,Unprovoked,Minor injury to thigh,n,m,Surfing,"Orlando Sentinel, 9/19/2016"
2016.09.18.b,Sep,18,2016,usa,florida,new smyrna beach,Unprovoked,Lacerations to hands,n,m,Surfing,"Orlando Sentinel, 9/19/2016"
2016.09.18.a,Sep,18,2016,usa,florida,new smyrna beach,Unprovoked,Lacerations to lower leg,n,m,Surfing,"Orlando Sentinel, 9/19/2016"
2016.09.17,Sep,17,2016,australia,victoria,thirteenth beach,Unprovoked,Struck by fin on chest & leg,n,m,Surfing,"The Age, 9/18/2016"
2016.09.15,Sep,16,2016,australia,victoria,bells beach,Unprovoked,No injury: Knocked off board by shark,n,m,Surfing,"The Age, 9/16/2016"
2016.09.11,Sep,11,2016,usa,florida,ponte vedra,Unprovoked,Minor injury to arm,n,m,Wading,"News4Jax, 9/11/2016"
2016.08.29.b,Aug,29,2016,usa,florida,new smyrna beach,Unprovoked,Lacerations to right foot,n,m,Surfing,"News Channel 8, 8/30/16"
2016.08.29.a,Aug,29,2016,usa,florida,new smyrna beach,Unprovoked,Minor injury to ankle,n,m,Surfing,"News Channel 8, 8/30/16"
2016.08.27,Aug,27,2016,reunion,,boucan canot,Unprovoked,"Right arm severed, ankle severely bitten ",n,m,Surfing,"LaDepeche, 8/29/2016"
2016.08.25,Aug,25,2016,usa,florida,ponte vedra,Unprovoked,Minor injury to ankle,n,m,Wading,"First Coast News, 7/25/2016"
2016.07.29,Jul,29,2016,spain,alicante province,arenales del sol,Unprovoked,Lacerations to right hand,n,m,Swimming,"Informacion.es, 7/29/2016"
2016.07.28.R,Jul,28,2016,china,hong kong,,Unprovoked,Lacerations to leg,n,m,Swimming,"Klassick, 7/28/2016"
2016.07.27,Jul,27,2016,usa,florida,florida keys,Provoked,Laceration to left forearm PROVOKED INCIDENT,n,m,Lobstering,"Tampa Bay Times, 7/27/2016"
2016.07.26,Jul,26,2016,australia,new south wales,"sharpes beach, ballina",Unprovoked,"No injury. Leg rope severed, knocked off board by shark",n,m,Surfing,"Gold Coast Bulletin, 7/28/2016"
2016.07.24,Jul,24,2016,japan,kochi prefecture,irino beach,Unprovoked,Lacerations to left leg,n,m,Surfing,"Japan Times, 7/25/2016"
2016.07.23.b,Jul,23,2016,australia,tasmania,clifton beach,Unprovoked,Calf bumped but no injury,n,m,Surfing,"C. Black, GSAF"
2016.07.23.a,Jul,23,2016,bahamas,abaco islands,green turtle cay,Unprovoked,Lacerations to face and right leg,n,m,Spearfishing,"KWTX, 7/23/2016"
2016.07.20,Jul,20,2016,australia,queensland,"20 k off the spit, off the gold coast",Provoked,Laceration to left calf from hooked shark PROVOKED INCIDENT,n,m,Fishing,"Nine News, 7/20/2016"
2016.07.16.b,Jul,16,2016,usa,florida,new smyrna beach,Unprovoked,Minor injury to leg,n,f,Surfing,"Orlando Sentinel, 7/21/2016"
