Coin Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume Change (24h)
1,Bitcoin,BTC,"$154,421,573,389",$8586.93,"17,983,325",0.03%
2,Ethereum,ETH,"$20,887,036,251",$193.25,"108,082,235",-0.23%
3,XRP,XRP,"$12,140,199,702",$0.281239,"43,166,787,298",0.00%
4,Bitcoin Cash,BCH,"$4,333,805,166",$240.12,"18,048,575",0.50%
5,Tether,USDT,"$4,131,189,939",$1.01,"4,108,044,456",0.16%
6,Litecoin,LTC,"$3,767,521,317",$59.39,"63,433,642",0.11%
7,EOS,EOS,"$3,042,870,447",$3.25,"935,202,054",0.09%
8,Binance Coin,BNB,"$2,776,087,646",$17.85,"155,536,713",0.40%
9,Bitcoin SV,BSV,"$1,632,890,797",$91.45,"17,854,986",0.10%
10,Stellar,XLM,"$1,268,531,744",$0.063351,"20,023,782,794",0.34%
11,TRON,TRX,"$1,135,641,047",$0.017031,"66,682,072,191",0.35%
12,Cardano,ADA,"$1,105,555,945",$0.042641,"25,927,070,538",-0.05%
13,Monero,XMR,"$991,437,331",$57.47,"17,250,282",0.08%
14,Chainlink,LINK,"$977,757,807",$2.79,"350,000,000",-0.76%
15,UNUS SED LEO,LEO,"$967,920,353",$0.968406,"999,498,893",-0.25%
16,Huobi Token,HT,"$801,924,612",$3.27,"245,537,640",0.04%
17,IOTA,MIOTA,"$781,394,918",$0.281125,"2,779,530,283",0.34%
18,Dash,DASH,"$675,690,848",$74.36,"9,087,062",-0.02%
19,Tezos,XTZ,"$620,141,324",$0.939076,"660,373,612",-0.60%
20,Ethereum Classic,ETC,"$580,822,497",$5.09,"114,135,574",0.16%
21,Cosmos,ATOM,"$551,736,387",$2.89,"190,688,439",-0.63%
22,NEO,NEO,"$550,855,080",$7.81,"70,538,831",0.09%
23,Maker,MKR,"$532,931,998",$532.93,"1,000,000",-0.41%
24,USD Coin,USDC,"$461,417,985",$1.00,"461,220,659",0.09%
25,NEM,XEM,"$381,953,250",$0.042439,"8,999,999,999",-0.22%
26,Crypto.com Coin,CRO,"$376,277,086",$0.035875,"10,488,584,475",0.12%
27,Ontology,ONT,"$353,619,215",$0.662765,"533,551,170",0.65%
28,Zcash,ZEC,"$290,748,320",$38.29,"7,594,206",0.26%
