Region,State,Population,Births,Deaths
South,Alabama,4849377,58059,49793
West,Alaska,736732,11221,4245
West,Arizona,6731484,86868,51748
South,Arkansas,2966369,38049,29231
West,California,38802500,505903,255787
West,Colorado,5355866,66284,34337
Northeast,Connecticut,3596677,36499,29579
South,Delaware,935614,11134,8278
South,District of Columbia,658893,9647,5228
South,Florida,19893297,214567,187102
South,Georgia,10097343,129389,75557
West,Hawaii,1419561,19125,11482
West,Idaho,1634464,22945,11628
Midwest,Illinois,12880580,157330,103766
Midwest,Indiana,6596855,83206,58212
Midwest,Iowa,3107126,38673,27706
Midwest,Kansas,2904021,40001,24023
South,Kentucky,4413457,55221,42647
South,Louisiana,4649676,62349,42896
Northeast,Maine,1330089,12662,13137
South,Maryland,5976407,73047,47373
Northeast,Massachusetts,6745408,73248,55020
Midwest,Michigan,9909877,112748,90366
Midwest,Minnesota,5457173,68982,39728
South,Mississippi,2994079,38206,29573
Midwest,Missouri,6063589,74988,56033
West,Montana,1023579,12243,9089
Midwest,Nebraska,1881503,25961,14658
West,Nevada,2839099,35153,21702
Northeast,New Hampshire,1326813,12338,10834
Northeast,New Jersey,8938175,103440,71699
West,New Mexico,2085572,26805,16863
Northeast,New York,19746227,240710,154357
South,North Carolina,9943964,120099,83750
Midwest,North Dakota,739482,10780,5879
Midwest,Ohio,11594163,137999,111233
South,Oklahoma,3878051,53091,37703
West,Oregon,3970239,45209,33295
Northeast,Pennsylvania,12787209,142032,128600
Northeast,Rhode Island,1055173,10918,9543
South,South Carolina,4832482,57401,44230
Midwest,South Dakota,853175,12217,6893
South,Tennessee,6549352,80172,61664
South,Texas,26956958,386786,178395
West,Utah,2942902,51447,15306
Northeast,Vermont,626562,6006,5238
South,Virginia,8326289,103597,62485
West,Washington,7061530,87995,52257
South,West Virginia,1850326,20466,21735
Midwest,Wisconsin,5757564,66735,47602
West,Wyoming,584153,7626,4511
Puerto Rico,Puerto Rico Commonwealth,3548397,36479,28829
