,Address,Listing Type,Asking Price,Bed/Bath Count
0,"6607 Sterling Shores Ln, Rosenberg, TX 77471",House for sale,"$229,900","3 bds3 ba2,252 sqft"
1,"807 Simpson Rd APT A, Victoria, TX 77904",Apartment for rent,$945/mo,2 bds1 ba962 sqft
2,"11325 Somerland Way, Piney Point Village, TX 77024",House for sale,"$2,200,000","4 bds4 ba4,128 sqft"
3,"3719 Sicily St, Irving, TX 75038",Townhouse for rent,"$2,300/mo","2 bds2.5 ba1,608 sqft"
4,"1009 Avenue E, Marble Falls, TX 78654",House for sale,"$199,000","3 bds2 ba1,442 sqft"
5,"2101 Laura Ln, Arlington, TX 76010",House for sale,"$194,900","3 bds2 ba1,507 sqft"
6,"311 Grace Ln, Terrell, TX 75160",House for sale,"$199,900","3 bds2 ba1,948 sqft"
7,"2127 Wellington Dr, Denton, TX 76209",House for sale,"$198,000","4 bds2 ba1,325 sqft"
8,"729 Brookfield Dr, Garland, TX 75040",House for sale,"$249,000","4 bds3 ba1,990 sqft"
9,"1006 Davy Crockett St, Rockwall, TX 75087",House for sale,"$107,000","3 bds1 ba1,458 sqft"
10,"3605 Bryn Mawr Dr, Dallas, TX 75225",House for sale,"$1,400,000","3 bds3 ba2,921 sqft"
11,"65AC Fm # 1263, Aspermont, TX 79502",Lot / Land for sale,"$91,500",65 acres lot
12,"2317 Bluebird Ct, Grapevine, TX 76051",House for sale,"$335,000","3 bds2 ba1,662 sqft"
13,"27 Brister Dr, Whitesboro, TX 76273",Lot / Land for sale,"$109,500",1.49 acres lot
14,"1645 Hidden Springs Path, Round Rock, TX 78665",House for rent,"$2,200/mo","4 bds2.5 ba2,631 sqft"
15,"624 Portillo Dr, El Paso, TX 79932",House for sale,"$148,000","3 bds2 ba1,514 sqft"
16,"607 Alba Dr, Laredo, TX 78045",House for sale,"$247,850","3 bds2 ba1,768 sqft"
17,"129 Niagara Dr, Laredo, TX 78045",House for sale,"$178,966","2 bds3 ba1,347 sqft"
18,"3521 Jose De La Paz Rd, Laredo, TX 78046",House for sale,"$196,000","3 bds2 ba1,542 sqft"
19,"1403 Cinch Dr, Killeen, TX 76549",Apartment for rent,$875/mo,"3 bds2 ba1,300 sqft"
20,"4 Tamarron Ct, Wichita Falls, TX 76308",House for sale,"$269,900","4 bds3 ba2,806 sqft"
21,"941 Mossvine Dr, Plano, TX 75023",House for rent,"$1,650/mo","3 bds2 ba1,930 sqft"
22,"1315 W Deberry Ave, Aransas Pass, TX 78336",Lot / Land for sale,"$60,000",1.01 acres lot
23,"8401 N New Braunfels Ave APT 308, San Antonio, TX 78209",Condo for sale,"$124,500","2 bds2 ba1,064 sqft"
24,"230 Kennedy Ave, Alamo Heights, TX 78209",House for sale,"$1,750,000","6 bds6 ba5,852 sqft"
25,"234 River Forest Dr, Bastrop, TX 78602",House for sale,"$419,900","3 bds3 ba2,747 sqft"
26,"105 Northern Trl, Leander, TX 78641",House for sale,"$224,900","3 bds2 ba1,468 sqft"
27,"6007 Monza Dr Dr, Temple, TX 76502",House for sale,"$259,900","4 bds2 ba2,298 sqft"
28,"4106 Mcgaha Ave, Wichita Falls, TX 76308",House for rent,$950/mo,"3 bds2 ba1,193 sqft"
29,"2208 Jernigan Frd, Dickinson, TX 77539",House for sale,"$284,500","4 bds2 ba2,745 sqft"
30,"640 S Ripple Creek Dr, Houston, TX 77057",Townhouse for sale,"$235,000","2 bds2 ba1,460 sqft"
31,"4505 Briscoe St, Houston, TX",New construction,"$218,565","3 bds2 ba1,619 sqft"
32,"105 Pr # 1756, Laguna Park, TX 76634",Home for sale,"$44,900","3 bds2 ba1,440 sqft"
33,"702 S Caddo St, Cleburne, TX 76031",House for sale,"$159,000","Studio1 ba1,076 sqft"
34,"1122 Jackson St APT 817, Dallas, TX 75202",Condo for sale,"$209,900",1 bd1 ba911 sqft
35,"613 Fallmeadow Ct, Denton, TX 76207",Apartment for sale,"$425,000",8 bds4 ba-- sqft
36,"12599 Saint John Rd, Pilot Point, TX 76258",House for sale,"$799,900","3 bds3 ba3,674 sqft"
37,"2023 Harvey Mitchell Pkwy S, College Station, TX 77840",Townhouse for rent,"$1,795/mo","3 bds3.5 ba2,286 sqft"
38,"1008 N Lake St APT B, Amarillo, TX 79107",Apartment for rent,$575/mo,1 bd1 ba-- sqft
39,"628 Holleman Dr, College Station, TX 77840",Townhouse for rent,"$1,425/mo","3 bds3 ba1,300 sqft"
40,"Tbd Chisolm Trl, Crawford, TX 76638",Lot / Land for sale,"$175,000",-- sqft lot
41,"1403 Strickland St, Waco, TX 76705",Lot / Land for sale,"$15,000","7,048 sqft lot"
42,"201 N Oak St, Waco, TX 76705",House for sale,"$130,000",3 bds2 ba988 sqft
43,"103 Vassar Ln APT 1, San Antonio, TX 78212",Apartment for rent,"$1,050/mo",2 bds1 ba960 sqft
44,"3314 Airborne Ave, College Station, TX 77845",Townhouse for rent,"$1,795/mo","3 bds3 ba1,261 sqft"
45,"137 Kimber Ln, College Station, TX 77845",Townhouse for rent,"$2,095/mo","4 bds4 ba1,853 sqft"
46,"133 Kimber Ln, College Station, TX 77845",Townhouse for rent,"$1,650/mo","3 bds3 ba1,198 sqft"
47,"135 Kimber Ln, College Station, TX 77845",Townhouse for rent,"$2,095/mo","4 bds4 ba1,853 sqft"
48,"1807 E Austin St, Nacogdoches, TX 75965",House for rent,"$1,400/mo","3 bds2 ba2,217 sqft"
49,"703 Romaine Ln, Houston, TX 77090",For sale by owner,"$370,000","4 bds5 ba3,448 sqft"
50,"815 Avenue A, College Station, TX 77840",House for rent,"$1,500/mo","3 bds2 ba1,179 sqft"
51,"822 N Avenue F, Clifton, TX 76634",House for rent,$875/mo,"3 bds1 ba1,032 sqft"
52,"4507 17th St, Lubbock, TX 79416",Lot / Land for sale,"$200,000",0.44 acres lot
53,"116 Legacy Trce, La Vernia, TX 78121",House for sale,"$389,900","4 bds2 ba2,452 sqft"
54,"5823 Krisford Ct, Sugar Land, TX 77479",House for sale,"$548,000","5 bds5 ba4,525 sqft"
55,"8520 Lenore St, Houston, TX 77017",Lot / Land for sale,"$65,000","10,018 sqft lot"
56,"20726 Normandy Forest Dr, Spring, TX 77388",House for sale,"$199,999","4 bds2 ba2,388 sqft"
57,"18327 Ranch View Trl, Houston, TX 77073",House for sale,"$195,000","4 bds3 ba3,164 sqft"
58,"217 W Stoneham St, Navasota, TX 77868",House for sale,"$69,900","2 bds1 ba1,140 sqft"
59,"9239 Forest Hills Blvd, Dallas, TX 75218",House for rent,"$4,500/mo","3 bds2 ba2,049 sqft"
60,"8717 Fullerton Dr LOT 40, Cleburne, TX 76033",Lot / Land for sale,"$35,000","1,785 sqft lot"
61,"315 Quail Run Rd, Red Oak, TX 75154",House for rent,"$1,895/mo","4 bds2 ba1,742 sqft"
62,"1119 Dula Cir, Duncanville, TX 75116",House for sale,"$215,000","4 bds3 ba2,735 sqft"
63,"5732 Greenbrier Dr, Dallas, TX 75209",House for sale,"$1,059,000","3 bds3 ba2,548 sqft"
64,"1945 Crawford St, Graham, TX 76450",House for sale,"$85,000","3 bds2 ba1,006 sqft"
65,"208 Oakley Cir, Weatherford, TX 76085",House for sale,"$215,000","4 bds2 ba1,776 sqft"
66,"10129 Houston Way, Mckinney, TX 75071",House for sale,"$346,680","4 bds4 ba2,456 sqft"
67,"1201 College Park Blvd, Richardson, TX 75081",House for sale,"$347,750","4 bds4 ba2,548 sqft"
68,"2523 County Road 3838, Runaway Bay, TX 76426",House for sale,"$999,000","3 bds2 ba4,153 sqft"
69,"2120 Waverly Cir, Port Arthur, TX 77640",House for sale,"$119,900","3 bds3 ba2,526 sqft"
70,"1809 Stoney Brook Dr APT 204, Houston, TX 77063",Apartment for rent,"$1,600/mo","2 bds2 ba1,158 sqft"
71,"2210 Fieldstone Dr, Killeen, TX 76549",House for rent,$850/mo,"3 bds2 ba1,220 sqft"
72,"506 Iowa St, Sherman, TX 75090",House for rent,"Est. $80,991","4 bds2 ba1,883 sqft"
73,"239 Colfax St, El Paso, TX 79905",Apartment for rent,$495/mo,1 bd1 ba-- sqft
74,"2155 County Road 430, Pleasanton, TX 78064",House for sale,"$1,101,000","Studio-- ba1,216 sqft"
75,"506 Iowa St, Sherman, TX 75090",House for rent,"Est. $80,991","4 bds2 ba1,883 sqft"
76,"239 Colfax St, El Paso, TX 79905",Apartment for rent,$495/mo,1 bd1 ba-- sqft
77,"2155 County Road 430, Pleasanton, TX 78064",House for sale,"$1,101,000","Studio-- ba1,216 sqft"
78,"1531 Arlington St, Houston, TX 77008",House for sale,"$615,000","2 bds2 ba1,160 sqft"
79,"12519 Larkington Ln, Richmond, TX",New construction,"$431,867","5 bds4 ba3,584 sqft"
80,"2048 Brodie Ln, Conroe, TX",New construction,"$299,990","4 bds3 ba3,180 sqft"
81,"9167 Wapiti Trl, Conroe, TX 77303",House for sale,"$320,000","4 bds2 ba2,467 sqft"
82,"202 Turtle Cv APT A, Waco, TX 76711",Apartment for rent,$725/mo,"2 bds1 ba1,010 sqft"
83,"215 Quail Ridge Dr, Nacogdoches, TX 75961",House for rent,"$1,100/mo","3 bds2 ba1,621 sqft"
84,"315 Robin St, Crowley, TX 76036",Townhouse for rent,"$1,250/mo","3 bds2 ba1,250 sqft"
85,"2113 Norma St, Port Arthur, TX 77640",House for sale,"$112,000","2 bds2 ba1,304 sqft"
86,"3904 Lincoln Ave # A, El Paso, TX 79930",Apartment for rent,$850/mo,3 bds2 ba900 sqft
87,"2206 Lazy Ridge Dr, Killeen, TX 76543",House for rent,$895/mo,"3 bds1 ba1,270 sqft"
88,"1419 Chandler Park Ln, Fresno, TX 77545",House for rent,"$1,650/mo","4 bds2 ba1,908 sqft"
89,"3839 Cherokee Blvd, New Braunfels, TX 78132",House for rent,"$1,575/mo","3 bds3 ba1,814 sqft"
90,"403 Methodius Dr, Hutto, TX 78634",House for rent,"$1,800/mo","3 bds2 ba1,779 sqft"
91,"5300 Vanner Path, Georgetown, TX 78626",House for sale,"$258,195","3 bds2 ba1,610 sqft"
92,"1421 Tejas Trl APT B, Harker Heights, TX 76548",Apartment for rent,$995/mo,"3 bds2 ba1,230 sqft"
93,"161 Hunter Dr, Cedar Hill, TX 75104",House for rent,"$1,749/mo","3 bds2 ba1,501 sqft"
94,"1520 Warrington Way, Forney, TX 75126",House for rent,"$1,799/mo","3 bds2 ba1,810 sqft"
95,"16 Teakwood St, Abilene, TX 79601",House for rent,$695/mo,2 bds1 ba682 sqft
96,"3843 Glenda Ave APT 16, Tyler, TX 75704",Apartment for rent,$695/mo,1 bd1 ba500 sqft
97,"3611 Valley Frg, Sachse, TX 75048",House for sale,"$299,900","4 bds3 ba2,762 sqft"
98,"5217 Sangria Dr, Mckinney, TX 75070",House for sale,"$399,554","3 bds2 ba1,850 sqft"
99,"4407 Bobbie Ann Dr, Granbury, TX 76049",House for rent,"$1,450/mo","3 bds2 ba1,645 sqft"
100,"421 Falling Star Dr, Haslet, TX 76052",House for rent,"$1,849/mo","4 bds2 ba1,886 sqft"
101,"340 Blue Crow Ln, Haslet, TX 76052",House for rent,"$1,849/mo","4 bds2 ba1,886 sqft"
102,"428 Blue Crow Ln, Haslet, TX 76052",House for rent,"$1,849/mo","4 bds2 ba1,886 sqft"
103,"3008 Quenby Ave, Houston, TX 77005",House for sale,"$1,525,000","4 bds4 ba3,648 sqft"
104,"109 W Whitney St, Houston, TX 77018",House for sale,"$375,000","2 bds1 ba1,484 sqft"
105,"16219 Creeksouth Rd, Houston, TX 77068",House for sale,"$285,000","3 bds3 ba2,421 sqft"
106,"1750 Timber Ridge Dr # 102, Austin, TX 78741",Townhouse for rent,"$1,345/mo",2 bds2 ba809 sqft
107,"3950 Key West Way, Converse, TX 78109",House for sale,"$174,900","3 bds2 ba1,124 sqft"
108,"3610 Rancho Del Rey, Edinburg, TX",New construction,"$132,900","3 bds2 ba1,265 sqft"
109,"5554 S Patillo Rd, Orange, TX 77630",House for sale,"$130,000","3 bds2 ba1,348 sqft"
110,"13334 Enchanted Way Dr, Montgomery, TX 77356",For sale by owner,"$225,000","4 bds2.5 ba2,501 sqft"
111,"5307 Lions Gate Ln, Killeen, TX 76549",House for rent,"$1,195/mo","3 bds2 ba1,651 sqft"
112,"12569 Gilded Sun Dr, El Paso, TX 79938",House for rent,"$1,050/mo","3 bds2 ba1,317 sqft"
113,"506 W Walters Blvd, New Boston, TX 75570",House for sale,"$65,000","3 bds1 ba1,383 sqft"
114,"1504 79th St, Lubbock, TX 79423",House for sale,"$165,000","3 bds2 ba1,536 sqft"
115,"7716 Grover Ave, Lubbock, TX 79424",For sale by owner,"$215,000","3 bds2 ba1,825 sqft"
116,"11839 Taffy Bagley Dr, El Paso, TX 79936",Condo for sale,"$87,500",2 bds2 ba994 sqft
117,"7861 Enchanted View Dr, El Paso, TX 79911",House for sale,"$330,000","3 bds3 ba2,313 sqft"
118,"3113 Eads Pl, El Paso, TX 79935",House for sale,"$185,000","3 bds2 ba1,740 sqft"
119,"3003 Barkarian Pl, El Paso, TX 79936",Condo for rent,$895/mo,"3 bds2 ba1,399 sqft"
120,"11713 Snow Hawk Dr, El Paso, TX 79936",House for rent,"$1,100/mo","3 bds2 ba1,274 sqft"
121,"145 Peruvian Ln, Georgetown, TX 78626",House for sale,"$253,745","3 bds2 ba1,610 sqft"
122,"2403 Pawnee, Leander, TX 78641",House for sale,"$539,900","4 bds4 ba3,628 sqft"
123,"13510 Northshore Dr, Montgomery, TX 77356",House for sale,"$599,900","4 bds3 ba3,101 sqft"
124,"6201 Beverlyhill St APT 19, Houston, TX 77057",Condo for rent,"$1,350/mo","2 bds2.5 ba1,228 sqft"
125,"1819 Babcock Rd # 608-F, San Antonio, TX 78229",For sale by owner,"$139,600","2 bds2 ba1,863 sqft"
126,"10774 Briar Forest Dr # 6-12, Houston, TX 77042",Townhouse for sale,"$157,000","2 bds3 ba1,760 sqft"
127,"4704 Black Forest Ln, Killeen, TX 76549",House for rent,"$1,175/mo","3 bds2 ba1,341 sqft"
128,"2928 Forest Park Blvd, Fort Worth, TX 76110",Townhouse for rent,"$3,400/mo","4 bds3 ba1,650 sqft"
129,"3005 Old Alice Rd APT 800L, Brownsville, TX 78521",Condo for sale,"$59,900","22 bds1 ba1,009 sqft"
130,"3603 S Radisson Ave APT 3, Pharr, TX 78577",Apartment for rent,$750/mo,2 bds2 ba962 sqft
131,"2000 Bagby St APT 9416, Houston, TX 77002",Condo for sale,"$395,000","2 bds2 ba1,884 sqft"
132,"701 Bering Dr APT 101, Houston, TX 77057",Townhouse for sale,"$339,500","2 bds3 ba1,500 sqft"
133,"3040 Breton St, Robinson, TX 76706",Townhouse for rent,"$1,250/mo",3 bds2 ba-- sqft
134,"1149 Skyline Dr, Hutchins, TX 75141",House for sale,"$208,999","4 bds2 ba1,720 sqft"
135,"1004 Wilemon Dr, Bedford, TX 76022",House for sale,"$130,000","3 bds2 ba1,512 sqft"
136,"910 Adele St # 1, Houston, TX 77009",Apartment for rent,"$1,500/mo","2 bds1 ba1,300 sqft"
137,"702F County Road 194, Ovalo, TX",New construction,"$1,899,900","3 bds2 ba1,500 sqft"
138,"150 Pilgrim Rd, Abilene, TX 79602",Foreclosure,"$389,900","4 bds2 ba4,275 sqft"
139,"6021 E University Blvd APT 102, Dallas, TX 75206",Condo for sale,"$250,000","3 bds3 ba1,515 sqft"
140,"8009 Esquire Ln, Rowlett, TX 75089",House for sale,"$304,999","4 bds2 ba1,950 sqft"
141,"318 E Munson St, Denison, TX 75021",House for sale,"$159,900","3 bds2 ba1,271 sqft"
142,"3602 San Rafael Dr, Arlington, TX 76013",House for rent,"$1,495/mo","3 bds2 ba1,327 sqft"
143,"6002 E Valley Forge Ave, San Antonio, TX 78233",House for sale,"$175,000","3 bds2 ba1,403 sqft"
144,"105 Freedom St, Fischer, TX 78623",Lot / Land for sale,"$28,000",1.02 acres lot
145,"1617 Toni Ln, Mission, TX 78572",House for sale,"$114,900","3 bds2 ba1,277 sqft"
146,"7301 Pepper Ridge Rd, Corpus Christi, TX 78413",House for sale,"$195,000","4 bds3 ba2,186 sqft"
147,"3679 Angelita Dr, Odem, TX 78370",House for sale,"$320,000","4 bds2 ba2,169 sqft"
148,"16414 Ancient Forest Dr, Humble, TX 77346",House for sale,"$209,500","4 bds3 ba2,340 sqft"
149,"14602 Morinscott Dr, Houston, TX 77049",House for sale,"$139,900","4 bds3 ba2,242 sqft"
150,"1811 Grassland Ct, Sugar Land, TX 77478",House for sale,"$209,999","3 bds2 ba1,565 sqft"
151,"7301 Sherman St # 6, Houston, TX 77011",Apartment for sale,"$498,500","Studio-- ba2,220 sqft"
152,"8105 Fm 182, Gatesville, TX 76528",House for sale,"$115,000","3 bds2 ba1,525 sqft"
153,"140 Quail Run, Hawkins, TX 75765",House for sale,"$185,000","4 bds2 ba1,933 sqft"
154,"938 Bonham St, Paris, TX 75460",House for sale,"$99,000","4 bds3 ba2,400 sqft"
155,"1138 Oxford Dr, Pearland, TX 77584",House for rent,"$1,500/mo","3 bds2 ba1,083 sqft"
156,"3875 N Tram Rd, Vidor, TX 77662",House for sale,"$159,900","3 bds2 ba1,606 sqft"
157,"141 Peruvian Ln, Georgetown, TX 78626",House for sale,"$279,055","3 bds2 ba1,919 sqft"
158,"3005 Beauford St, Robinson, TX 76706",Townhouse for rent,"$1,250/mo","3 bds2 ba1,450 sqft"
159,"2932 Forest Park Blvd, Fort Worth, TX 76110",Townhouse for rent,"$4,750/mo","5 bds3 ba2,200 sqft"
160,"9480 Oak Meadow Ln, Pilot Point, TX 76258",For sale by owner,"$649,900","4 bds4 ba3,809 sqft"
161,"4780 Robert Acosta Dr, El Paso, TX 79934",House for rent,"$1,200/mo","3 bds2.5 ba2,096 sqft"
162,"6 Dan Michael Dr, Texarkana, TX 75501",House for sale,"$209,900","3 bds2 ba1,675 sqft"
163,"1150 River Hills Rd, Stephenville, TX 76401",House for sale,"$299,500","4 bds2 ba2,144 sqft"
164,"3410 Darnell Dr, Paris, TX 75462",House for sale,"$319,900","4 bds3 ba2,663 sqft"
165,"7402 Carver Ave, Texas City, TX 77591",House for rent,"$1,700/mo","4 bds2 ba1,300 sqft"
166,"3318 Texas Ave, Texas City, TX 77590",House for rent,"$1,350/mo",3 bds1 ba975 sqft
167,"5700 N Knoll, San Antonio, TX 78240",Townhouse for rent,$776/mo,1 bd1 ba670 sqft
168,"21710 Andrews Gdn, San Antonio, TX 78258",House for rent,"$2,500/mo","3 bds3 ba2,209 sqft"
169,"1405 Pipkin St, Beaumont, TX 77705",House for rent,"$1,000/mo","3 bds1 ba1,288 sqft"
170,"16100 S Great Oaks Dr APT 1903, Round Rock, TX 78681",Condo for sale,"$230,000","2 bds3 ba1,617 sqft"
171,"9137 Vineyard Ln, Fort Worth, TX 76123",House for rent,"$2,950/mo","5 bds2 ba2,411 sqft"
172,"1938 Cranford Dr APT 8, Garland, TX 75041",Townhouse for rent,"$1,000/mo","2 bds1 ba1,056 sqft"
173,"6311 Holly Crest Ln, Sachse, TX 75048",House for rent,"$2,750/mo","4 bds2 ba1,630 sqft"
174,"1805 Avenue R, Lubbock, TX 79401",Apartment for sale,"$112,000","4 bds2 ba1,472 sqft"
175,"4346 Amherst Dr, Corpus Christi, TX 78412",House for rent,"$1,600/mo","4 bds1 ba1,322 sqft"
176,"8401 N New Braunfels Ave APT 307, San Antonio, TX 78209",Condo for sale,"$89,500",1 bd1 ba652 sqft
177,"318 Rocky River Rd, Blanco, TX 78606",House for sale,"$299,500","1 bd2 ba1,023 sqft"
178,"6 Birnam Wood, San Antonio, TX 78248",House for sale,"$355,000","4 bds4 ba2,899 sqft"
179,"6 Birnam Wood, San Antonio, TX 78248",House for sale,"$355,000","4 bds4 ba2,899 sqft"
180,"1925 Lori Ct, Seabrook, TX 77586",House for rent,"$2,500/mo","5 bds3.5 ba3,200 sqft"
181,"9202 Gettysburg Ave, Texas City, TX 77591",House for rent,"$1,700/mo","4 bds2 ba1,800 sqft"
182,"1519 Valencia APT 1, San Antonio, TX 78237",Apartment for rent,$850/mo,2 bds1 ba750 sqft
183,"538 Palm St, Beaumont, TX 77705",Townhouse for rent,$500/mo,2 bds1 ba670 sqft
184,"3433 Reeves St, Houston, TX 77004",House for rent,$900/mo,2 bds1 ba720 sqft
185,"550 Palm St, Beaumont, TX 77705",House for rent,$950/mo,"3 bds1 ba1,218 sqft"
186,"3120 Shadywood Ct, Mesquite, TX 75150",House for rent,"$1,795/mo","3 bds2 ba1,625 sqft"
